"name","url","address","LocName","fX","fY","iConf","iLvl"
青島食堂 秋葉原店,https://tabelog.com/tokyo/A1310/A131001/13094776/,東京都千代田区神田佐久間町3-20-1,"東京都/千代田区/神田佐久間町/三丁目/２０番地","139.77849","35.69733","5","7"
饗 くろ喜,https://tabelog.com/tokyo/A1310/A131001/13127743/,東京都千代田区神田和泉町2-15四連ビル3号館　1F,"東京都/千代田区/神田和泉町/２番地","139.77948","35.69949","5","7"
麺 みつヰ,https://tabelog.com/tokyo/A1311/A131102/13203387/,東京都台東区西浅草2-10-4あけぼのビル1B,"東京都/台東区/西浅草/二丁目/１０番","139.79057","35.71240","5","7"
煮干しつけ麺 宮元,https://tabelog.com/tokyo/A1315/A131503/13180862/,東京都大田区西蒲田7-8-11F,"東京都/大田区/西蒲田/七丁目/８番","139.71362","35.56406","5","7"
麺屋 Hulu-lu,https://tabelog.com/tokyo/A1305/A130501/13136428/,東京都豊島区池袋2-60-7,"東京都/豊島区/池袋/二丁目/６０番","139.70920","35.73472","5","7"
たんたん亭,https://tabelog.com/tokyo/A1318/A131805/13000705/,東京都杉並区浜田山3-31-4,"東京都/杉並区/浜田山/三丁目/３１番","139.62758","35.68170","5","7"
純手打ち 麺と未来,https://tabelog.com/tokyo/A1318/A131802/13221486/,東京都世田谷区北沢3-25-1シャトルヒエイ1F,"東京都/世田谷区/北沢/三丁目/２５番","139.66896","35.66404","5","7"
八咫烏,https://tabelog.com/tokyo/A1309/A130906/13198710/,東京都千代田区九段北1-9-2エクセントビル九段1F,"東京都/千代田区/九段北/一丁目/９番","139.75078","35.69785","5","7"
食堂七彩,https://tabelog.com/tokyo/A1321/A132104/13145418/,東京都中野区鷺宮3-1-12,"東京都/中野区/鷺宮/三丁目/１番","139.64394","35.72301","5","7"
燦燦斗,https://tabelog.com/tokyo/A1323/A132304/13038064/,東京都北区中十条3-16-15,"東京都/北区/中十条/三丁目/１６番","139.72539","35.76453","5","7"
Ramen　にじゅうぶんのいち,https://tabelog.com/tokyo/A1324/A132401/13147594/,東京都荒川区東尾久2-19-10,"東京都/荒川区/東尾久/二丁目/１９番","139.77267","35.74445","5","7"
ラーメン二郎 三田本店,https://tabelog.com/tokyo/A1314/A131402/13006051/,東京都港区三田2-16-4,"東京都/港区/三田/二丁目/１６番","139.74152","35.64804","5","7"
RAMEN GOTTSU,https://tabelog.com/tokyo/A1321/A132102/13153294/,東京都練馬区練馬1-29-16,"東京都/練馬区/練馬/一丁目/２９番","139.65646","35.73964","5","7"
四川担担麺 阿吽 湯島本店,https://tabelog.com/tokyo/A1311/A131101/13042564/,東京都文京区湯島3-25-11,"東京都/文京区/湯島/三丁目/２５番","139.76965","35.70679","5","7"
寿製麺 よしかわ 西台駅前店,https://tabelog.com/tokyo/A1322/A132205/13228611/,東京都板橋区蓮根3-8-14,"東京都/板橋区/蓮根/三丁目/８番","139.67496","35.78628","5","7"
麺屋 はし本,https://tabelog.com/tokyo/A1319/A131902/13205769/,東京都中野区新井1-25-4中野ニューハウジング1F,"東京都/中野区/新井/一丁目/２５番","139.66577","35.71182","5","7"
勝本 水道橋店,https://tabelog.com/tokyo/A1310/A131003/13179757/,東京都千代田区神田三崎町2-15-5,"東京都/千代田区/神田三崎町/二丁目/１５番","139.75291","35.70079","5","7"
麺屋 さくら井,https://tabelog.com/tokyo/A1320/A132002/13202438/,東京都武蔵野市西久保2-15-27,"東京都/武蔵野市/西久保/二丁目/１５番","139.55879","35.70917","5","7"
らぁめん 葉月,https://tabelog.com/tokyo/A1317/A131714/13008248/,東京都大田区雪谷大塚町11-8,"東京都/大田区/雪谷大塚町/１１番","139.67868","35.59031","5","7"
鶏そば  ムタヒロ 2号店,https://tabelog.com/tokyo/A1325/A132502/13147068/,東京都国分寺市本町2-3-6タリホービル1Ｆ右,"東京都/国分寺市/本町/二丁目/３番","139.48312","35.70087","5","7"
中華そば　堀川,https://tabelog.com/tokyo/A1317/A131703/13243173/,東京都目黒区自由が丘3-7-1,"東京都/目黒区/自由が丘/三丁目/７番","139.66522","35.60893","5","7"
純手打ち だるま,https://tabelog.com/tokyo/A1319/A131903/13218715/,東京都杉並区和田1-18-3,"東京都/杉並区/和田/一丁目/１８番","139.66656","35.69089","5","7"
麺処 晴,https://tabelog.com/tokyo/A1311/A131104/13143115/,東京都台東区下谷1-11-7,"東京都/台東区/下谷/一丁目/１１番","139.78323","35.71948","5","7"
ラーメン屋 トイ・ボックス,https://tabelog.com/tokyo/A1324/A132401/13162973/,東京都荒川区東日暮里1-1-31階,"東京都/荒川区/東日暮里/一丁目/１番","139.79192","35.73127","5","7"
はやし,https://tabelog.com/tokyo/A1303/A130301/13003367/,東京都渋谷区道玄坂1-14-9ソシアル道玄坂　１Ｆ,"東京都/渋谷区/道玄坂/一丁目/１４番","139.69818","35.65743","5","7"
らぁめん小池,https://tabelog.com/tokyo/A1318/A131809/13172994/,東京都世田谷区上北沢4-19-18上北沢ハイネスコーポ1F,"東京都/世田谷区/上北沢/四丁目/１９番","139.62224","35.67013","5","7"
中華そば しば田,https://tabelog.com/tokyo/A1326/A132601/13162681/,東京都調布市若葉町2-25-20,"東京都/調布市/若葉町/二丁目/２５番","139.59003","35.65636","5","7"
麺屋一燈,https://tabelog.com/tokyo/A1312/A131204/13111737/,東京都葛飾区東新小岩1-4-17,"東京都/葛飾区/東新小岩/一丁目/４番","139.85764","35.71918","5","7"
六厘舎,https://tabelog.com/tokyo/A1302/A130201/13093047/,東京都千代田区丸の内1-9-1東京駅一番街B1F東京ラーメンストリート内,"東京都/千代田区/丸の内/一丁目/９番","139.76724","35.68125","5","7"
MENSHO,https://tabelog.com/tokyo/A1323/A132302/13203848/,東京都文京区音羽1-17-16中銀音羽マンシオン１F,"東京都/文京区/音羽/一丁目/１７番","139.72852","35.71650","5","7"
銀座 八五,https://tabelog.com/tokyo/A1301/A130101/13228602/,東京都中央区銀座3-14-2第一はなぶさビル1F,"東京都/中央区/銀座/三丁目/１４番","139.76932","35.67003","5","7"
自家製中華そば としおか,https://tabelog.com/tokyo/A1305/A130504/13182315/,東京都新宿区弁天町20,"東京都/新宿区/弁天町/２０番地","139.72665","35.70465","5","7"
らーめんMAIKAGURA,https://tabelog.com/tokyo/A1318/A131813/13218425/,東京都世田谷区船橋1-38-4,"東京都/世田谷区/船橋/一丁目/３８番","139.61867","35.64828","5","7"
中華蕎麦にし乃,https://tabelog.com/tokyo/A1310/A131004/13218311/,東京都文京区本郷3-30-7熊野ビルB101,"東京都/文京区/本郷/三丁目/３０番","139.76173","35.70652","5","7"
メンドコロ キナリ,https://tabelog.com/tokyo/A1319/A131901/13221001/,東京都中野区東中野1-51-4大総ビル1F,"東京都/中野区/東中野/一丁目/５１番","139.68578","35.70567","5","7"
